href,img,title,price
https://btown-b-merch.printify.me/product/25588093/burlington-gray-print-back-print,https://images-api.printify.com/mockup/693bd6fc95443854b800227c/73982/98445/burlington-gray-print-back-print.jpg?camera_label=front&revision=1765534759712&s=400,Burlington Gray Print BACK PRINT,$20.68
https://btown-b-merch.printify.me/product/25588092/burlington-gray-womens-crop,https://images-api.printify.com/mockup/693bd7b7126fcab6dd0e93a3/103838/100714/burlington-gray-womens-crop.jpg?camera_label=front&revision=1765534759322&s=400,Burlington Gray Women's Crop,$30.58
https://btown-b-merch.printify.me/product/25588091/long-sleeve-burlington-gray-print-t-shirt,https://images-api.printify.com/mockup/693bda6dd0e234635308c12f/98754/108630/long-sleeve-burlington-gray-print-t-shirt.jpg?camera_label=front&revision=1765534759375&s=400,Long Sleeve Burlington Gray Print T-Shirt,$36.45
https://btown-b-merch.printify.me/product/25588090/long-sleeve-grid-of-btv,https://images-api.printify.com/mockup/693bdbc5bacbed8a38055832/98849/108630/long-sleeve-grid-of-btv.jpg?camera_label=front&revision=1765534759045&s=400,Long Sleeve Grid of BTV,$36.45
https://btown-b-merch.printify.me/product/25588089/church-and-amp-cherry-st-bike-graphic-tee,https://images-api.printify.com/mockup/693b96ec957e699c390322e3/78898/98445/church-cherry-st-bike-graphic-tee.jpg?camera_label=front&revision=1765534758811&s=400,Church & Cherry St Bike Graphic Tee,$20.68
https://btown-b-merch.printify.me/product/25588088/long-sleeve-sunset-and-amp-mountains-t-shirt,https://images-api.printify.com/mockup/693bdb11d0e234635308c16a/98764/108630/long-sleeve-sunset-mountains-t-shirt.jpg?camera_label=front&revision=1765534759223&s=400,Long Sleeve Sunset & Mountains T-Shirt,$36.45
https://btown-b-merch.printify.me/product/25588087/long-sleeve-filing-cabinet-t-shirt,https://images-api.printify.com/mockup/693bdb56f77c83551b07eac9/98849/108630/long-sleeve-filing-cabinet-t-shirt.jpg?camera_label=front&revision=1765534759075&s=400,Long Sleeve Filing Cabinet T-Shirt,$36.45
https://btown-b-merch.printify.me/product/25588032/back-print-long-sleeve-champus-fossil-t-shirt,https://images-api.printify.com/mockup/693be1ca126fcab6dd0e9660/98754/108630/back-print-long-sleeve-champus-fossil-t-shirt.jpg?camera_label=front&revision=1765534670074&s=400,BACK PRINT Long Sleeve Champus Fossil T-shirt,$36.45
https://btown-b-merch.printify.me/product/25588037/back-print-long-sleeve-zebra-mussel-t-shirt,https://images-api.printify.com/mockup/693be1eebacbed8a380559eb/98804/108630/back-print-long-sleeve-zebra-mussel-t-shirt.jpg?camera_label=front&revision=1765534670617&s=400,BACK PRINT Long Sleeve Zebra Mussel T-Shirt,$36.45
https://btown-b-merch.printify.me/product/25588035/back-print-long-sleeve-sturgeon-t-shirt,https://images-api.printify.com/mockup/693be1e6b782272738077433/98839/108630/back-print-long-sleeve-sturgeon-t-shirt.jpg?camera_label=front&revision=1765534670442&s=400,BACK PRINT Long Sleeve Sturgeon T-Shirt,$36.45
https://btown-b-merch.printify.me/product/25588031/back-print-long-sleeve-grade-a-twist-t-shirt,https://images-api.printify.com/mockup/693be1dbb7e514127d091e85/98839/108630/back-print-long-sleeve-grade-a-twist-t-shirt.jpg?camera_label=front&revision=1765534669685&s=400,BACK PRINT Long Sleeve Grade A Twist T-shirt,$36.45
https://btown-b-merch.printify.me/product/25588030/back-print-long-sleeve-port-of-burlington-t-shirt,https://images-api.printify.com/mockup/693be1f4b7e514127d091e8a/98839/108630/back-print-long-sleeve-port-of-burlington-t-shirt.jpg?camera_label=front&revision=1765534664561&s=400,BACK PRINT Long Sleeve Port of Burlington T-Shirt,$36.45
https://btown-b-merch.printify.me/product/25588083/long-sleeve-university-of-the-pit-t-shirt,https://images-api.printify.com/mockup/693bdf5dbacbed8a38055916/98849/108630/long-sleeve-university-of-the-pit-t-shirt.jpg?camera_label=front&revision=1765534747836&s=400,Long Sleeve University of the Pit T-shirt,$36.45
https://btown-b-merch.printify.me/product/25588055/long-sleeve-port-of-burlington-t-shirt,https://images-api.printify.com/mockup/693bdf0208cea7091a0f4a4b/98839/108630/long-sleeve-port-of-burlington-t-shirt.jpg?camera_label=front&revision=1765534678354&s=400,Long Sleeve Port of Burlington T-Shirt,$36.45
